Date,AMAZONAS,ANTIOQUIA,ARAUCA,ATLANTICO,BOGOTA,BOLIVAR,BOYACA,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCO,CORDOBA,CUNDINAMARCA,GUAINIA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE SANTANDER,PUTUMAYO,QUINDIO,RISARALDA,SAN ANDRES,SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPES,VICHADA
11/24/2019,0,15,1,9,27,3,1,2,1,1,5,6,3,10,7,1,0,2,5,2,2,3,1,0,1,2,0,4,2,4,11,0,0
12/1/2019,1,21,1,8,18,9,4,5,1,1,7,4,1,7,1,0,1,7,9,3,2,5,5,0,0,1,0,3,3,3,3,0,0
12/8/2019,0,16,1,5,21,5,5,5,0,1,3,5,6,4,5,0,1,2,6,15,5,7,2,1,2,2,0,3,3,3,12,0,0
12/15/2019,0,16,0,7,22,3,2,0,0,1,5,5,2,6,3,0,0,1,6,2,2,7,7,0,0,1,0,4,2,5,14,0,0
12/22/2019,0,12,2,5,24,4,0,5,1,0,8,6,1,6,5,0,0,4,2,2,9,1,11,2,2,3,0,3,5,0,6,0,0
1/1/2020,0,23,2,6,17,2,7,2,1,0,7,8,0,12,7,0,0,6,10,3,6,3,7,1,0,3,0,5,7,2,7,0,2
1/5/2020,2,22,1,10,23,3,3,1,0,1,1,5,2,11,9,0,0,1,7,5,8,6,3,1,3,3,0,7,3,6,4,0,0
1/12/2020,0,22,1,12,25,3,3,5,2,0,6,4,2,10,5,0,0,3,7,4,1,2,4,0,1,4,0,8,9,5,3,0,1
1/19/2020,1,18,0,8,26,5,6,2,2,0,6,3,2,5,4,1,0,1,6,2,3,4,3,1,1,4,2,2,5,4,4,0,1
1/26/2020,0,16,2,5,23,4,2,2,4,0,6,4,6,6,5,0,0,7,2,3,3,7,7,1,3,1,0,3,4,3,9,0,1
2/2/2020,1,15,2,6,29,2,4,4,1,3,3,8,3,7,10,0,0,2,5,2,3,8,4,1,0,3,1,6,4,4,4,0,0
2/9/2020,0,18,1,8,23,4,1,2,1,1,5,5,1,3,11,0,0,5,9,2,1,5,1,3,0,2,1,3,2,2,2,0,1
2/16/2020,0,17,1,4,18,3,1,1,2,1,6,3,1,5,6,0,0,1,4,4,0,1,3,2,2,1,0,3,1,2,1,0,2
